var_name,conv_fac
amplitude_mean,1
amplitude_sd,1
aspect,10
building_point_count_-01m-50m,1
building_proportion,10000
canopy_height,100
canopy_openness,10000
dtm_10m,100
ground_and_water_point_count_-01m-01m,1
ground_point_count_-01m-01m,1
heat_load_index,10000
normalized_z_mean,100
normalized_z_sd,100
openness_difference,1
openness_mean,1
point_source_counts,1
point_source_ids,1
point_source_nids,1
point_source_proportion,10000
sea_mask,1
slope,10
solar_radiation,1000
total_point_count_-01m-50m,1
twi,1000
vegetation_density,10000
vegetation_point_count_00.0m-00.5m,1
vegetation_point_count_00.5m-01.0m,1
vegetation_point_count_00m-50m,1
vegetation_point_count_01.0m-01.5m,1
vegetation_point_count_01.5m-02.0m,1
vegetation_point_count_02m-03m,1
vegetation_point_count_03m-04m,1
vegetation_point_count_04m-05m,1
vegetation_point_count_05m-06m,1
vegetation_point_count_06m-07m,1
vegetation_point_count_07m-08m,1
vegetation_point_count_08m-09m,1
vegetation_point_count_09m-10m,1
vegetation_point_count_10m-11m,1
vegetation_point_count_11m-12m,1
vegetation_point_count_12m-13m,1
vegetation_point_count_13m-14m,1
vegetation_point_count_14m-15m,1
vegetation_point_count_15m-16m,1
vegetation_point_count_16m-17m,1
vegetation_point_count_17m-18m,1
vegetation_point_count_18m-19m,1
vegetation_point_count_19m-20m,1
vegetation_point_count_20m-25m,1
vegetation_point_count_25m-50m,1
vegetation_proportion_00.0m-00.5m,10000
vegetation_proportion_00.5m-01.0m,10000
vegetation_proportion_01.0m-01.5m,10000
vegetation_proportion_01.5m-02.0m,10000
vegetation_proportion_02m-03m,10000
vegetation_proportion_03m-04m,10000
vegetation_proportion_04m-05m,10000
vegetation_proportion_05m-06m,10000
vegetation_proportion_06m-07m,10000
vegetation_proportion_07m-08m,10000
vegetation_proportion_08m-09m,10000
vegetation_proportion_09m-10m,10000
vegetation_proportion_10m-11m,10000
vegetation_proportion_11m-12m,10000
vegetation_proportion_12m-13m,10000
vegetation_proportion_13m-14m,10000
vegetation_proportion_14m-15m,10000
vegetation_proportion_15m-16m,10000
vegetation_proportion_16m-17m,10000
vegetation_proportion_17m-18m,10000
vegetation_proportion_18m-19m,10000
vegetation_proportion_19m-20m,10000
vegetation_proportion_20m-25m,10000
vegetation_proportion_25m-50m,10000
inland_water_mask,1
water_point_count_-01m-01m,1
