variable,n_missing_tiles
amplitude_mean,37
amplitude_sd,37
aspect,0
building_point_count_-01m-50m,37
building_proportion,37
canopy_height,75
canopy_openness,37
dtm_10m,0
ground_and_water_point_count_-01m-01m,37
ground_point_count_-01m-01m,37
heat_load_index,0
inland_water_mask,0
normalized_z_mean,75
normalized_z_sd,75
openness_difference,0
openness_mean,0
point_source_ids,37
point_source_nids,37
sea_mask,0
slope,0
solar_radiation,2
total_point_count_-01m-50m,37
twi,8
vegetation_density,37
vegetation_point_count_00.0m-00.5m,37
vegetation_point_count_00.5m-01.0m,37
vegetation_point_count_00m-50m,37
vegetation_point_count_01.0m-01.5m,37
vegetation_point_count_01.5m-02.0m,37
vegetation_point_count_02m-03m,37
vegetation_point_count_03m-04m,37
vegetation_point_count_04m-05m,37
vegetation_point_count_05m-06m,37
vegetation_point_count_06m-07m,37
vegetation_point_count_07m-08m,37
vegetation_point_count_08m-09m,37
vegetation_point_count_09m-10m,37
vegetation_point_count_10m-11m,37
vegetation_point_count_11m-12m,37
vegetation_point_count_12m-13m,37
vegetation_point_count_13m-14m,37
vegetation_point_count_14m-15m,37
vegetation_point_count_15m-16m,37
vegetation_point_count_16m-17m,37
vegetation_point_count_17m-18m,37
vegetation_point_count_18m-19m,37
vegetation_point_count_19m-20m,37
vegetation_point_count_20m-25m,37
vegetation_point_count_25m-50m,37
vegetation_proportion_00.0m-00.5m,37
vegetation_proportion_00.5m-01.0m,37
vegetation_proportion_01.0m-01.5m,37
vegetation_proportion_01.5m-02.0m,37
vegetation_proportion_02m-03m,37
vegetation_proportion_03m-04m,37
vegetation_proportion_04m-05m,37
vegetation_proportion_05m-06m,37
vegetation_proportion_06m-07m,37
vegetation_proportion_07m-08m,37
vegetation_proportion_08m-09m,37
vegetation_proportion_09m-10m,37
vegetation_proportion_10m-11m,37
vegetation_proportion_11m-12m,37
vegetation_proportion_12m-13m,37
vegetation_proportion_13m-14m,37
vegetation_proportion_14m-15m,37
vegetation_proportion_15m-16m,37
vegetation_proportion_16m-17m,37
vegetation_proportion_17m-18m,37
vegetation_proportion_18m-19m,37
vegetation_proportion_19m-20m,37
vegetation_proportion_20m-25m,37
vegetation_proportion_25m-50m,37
water_point_count_-01m-01m,37
