variable,n_missing_tiles
amplitude_mean,19
amplitude_sd,19
aspect,0
building_point_count_-01m-50m,19
building_proportion,19
canopy_height,65
canopy_openness,19
date_stamp_max,415
date_stamp_min,415
date_stamp_mode,415
dtm_10m,0
ground_and_water_point_count_-01m-01m,19
ground_point_count_-01m-01m,19
heat_load_index,0
inland_water_mask,0
normalized_z_mean,65
normalized_z_sd,65
openness_difference,0
openness_mean,0
point_source_ids,20
point_source_nids,19
sea_mask,0
slope,0
solar_radiation,0
total_point_count_-01m-50m,19
twi,1
vegetation_density,19
vegetation_point_count_00.0m-00.5m,19
vegetation_point_count_00.5m-01.0m,19
vegetation_point_count_00m-50m,19
vegetation_point_count_01.0m-01.5m,19
vegetation_point_count_01.5m-02.0m,19
vegetation_point_count_02m-03m,19
vegetation_point_count_03m-04m,19
vegetation_point_count_04m-05m,19
vegetation_point_count_05m-06m,19
vegetation_point_count_06m-07m,19
vegetation_point_count_07m-08m,19
vegetation_point_count_08m-09m,19
vegetation_point_count_09m-10m,19
vegetation_point_count_10m-11m,19
vegetation_point_count_11m-12m,19
vegetation_point_count_12m-13m,19
vegetation_point_count_13m-14m,19
vegetation_point_count_14m-15m,19
vegetation_point_count_15m-16m,19
vegetation_point_count_16m-17m,19
vegetation_point_count_17m-18m,19
vegetation_point_count_18m-19m,19
vegetation_point_count_19m-20m,19
vegetation_point_count_20m-25m,19
vegetation_point_count_25m-50m,19
vegetation_proportion_00.0m-00.5m,19
vegetation_proportion_00.5m-01.0m,19
vegetation_proportion_01.0m-01.5m,19
vegetation_proportion_01.5m-02.0m,19
vegetation_proportion_02m-03m,19
vegetation_proportion_03m-04m,19
vegetation_proportion_04m-05m,19
vegetation_proportion_05m-06m,19
vegetation_proportion_06m-07m,19
vegetation_proportion_07m-08m,19
vegetation_proportion_08m-09m,19
vegetation_proportion_09m-10m,19
vegetation_proportion_10m-11m,19
vegetation_proportion_11m-12m,19
vegetation_proportion_12m-13m,19
vegetation_proportion_13m-14m,19
vegetation_proportion_14m-15m,19
vegetation_proportion_15m-16m,19
vegetation_proportion_16m-17m,19
vegetation_proportion_17m-18m,19
vegetation_proportion_18m-19m,19
vegetation_proportion_19m-20m,19
vegetation_proportion_20m-25m,19
vegetation_proportion_25m-50m,19
water_point_count_-01m-01m,19
