tile_id,date_mode,date_mode_month,year
6049_684,20140312,"2014, 03",2014
6049_685,20140312,"2014, 03",2014
6049_686,20140312,"2014, 03",2014
6049_687,20140312,"2014, 03",2014
6049_691,20140308,"2014, 03",2014
6049_692,20140308,"2014, 03",2014
6050_682,NA,No date,NA
6050_683,NA,No date,NA
6050_684,20140312,"2014, 03",2014
6050_685,20140312,"2014, 03",2014
6050_686,NA,No date,NA
6050_687,20140312,"2014, 03",2014
6050_688,20140312,"2014, 03",2014
6050_689,20140308,"2014, 03",2014
6050_690,20140308,"2014, 03",2014
6050_691,20140308,"2014, 03",2014
6050_692,20140308,"2014, 03",2014
6051_682,20140312,"2014, 03",2014
6051_683,20140312,"2014, 03",2014
6051_688,20140308,"2014, 03",2014
6051_689,20140308,"2014, 03",2014
6051_690,20140308,"2014, 03",2014
6051_691,20140308,"2014, 03",2014
6051_692,20140308,"2014, 03",2014
6052_660,20140419,"2014, 04",2014
6052_661,20140419,"2014, 04",2014
6052_662,20140419,"2014, 04",2014
6052_663,20140419,"2014, 04",2014
6052_664,20140419,"2014, 04",2014
6052_665,NA,No date,NA
6052_688,20140308,"2014, 03",2014
6052_689,20140308,"2014, 03",2014
6052_690,20140308,"2014, 03",2014
6052_691,20140308,"2014, 03",2014
6052_692,20140308,"2014, 03",2014
6053_658,20140419,"2014, 04",2014
6053_659,20140419,"2014, 04",2014
6053_660,20140419,"2014, 04",2014
6053_661,20140419,"2014, 04",2014
6053_663,NA,No date,NA
6053_664,NA,No date,NA
6053_688,20140308,"2014, 03",2014
6053_689,20140308,"2014, 03",2014
6053_690,20140308,"2014, 03",2014
6053_691,20140308,"2014, 03",2014
6053_692,NA,No date,NA
6054_657,20140419,"2014, 04",2014
6054_658,20140419,"2014, 04",2014
6054_659,20140419,"2014, 04",2014
6054_688,20140308,"2014, 03",2014
6054_689,20140308,"2014, 03",2014
6054_690,20140308,"2014, 03",2014
6054_691,20140308,"2014, 03",2014
6055_656,20140419,"2014, 04",2014
6055_657,20140419,"2014, 04",2014
6055_658,20140419,"2014, 04",2014
6055_659,20140419,"2014, 04",2014
6055_660,20140419,"2014, 04",2014
6055_661,20140419,"2014, 04",2014
6055_662,20140419,"2014, 04",2014
6055_687,20140308,"2014, 03",2014
6055_688,20140308,"2014, 03",2014
6055_689,20140308,"2014, 03",2014
6055_690,20140308,"2014, 03",2014
6055_691,20140308,"2014, 03",2014
6056_654,20140419,"2014, 04",2014
6056_655,20140419,"2014, 04",2014
6056_656,20140419,"2014, 04",2014
6056_657,20140419,"2014, 04",2014
6056_658,20140419,"2014, 04",2014
6056_659,20140419,"2014, 04",2014
6056_660,20140419,"2014, 04",2014
6056_661,20140419,"2014, 04",2014
6056_662,20140419,"2014, 04",2014
6056_686,20140308,"2014, 03",2014
6056_687,20140308,"2014, 03",2014
6056_688,20140308,"2014, 03",2014
6056_689,20140308,"2014, 03",2014
6056_690,20140308,"2014, 03",2014
6056_691,20140308,"2014, 03",2014
6057_652,20140419,"2014, 04",2014
6057_653,20140419,"2014, 04",2014
6057_654,20140419,"2014, 04",2014
6057_655,20140419,"2014, 04",2014
6057_656,20140419,"2014, 04",2014
6057_657,20140419,"2014, 04",2014
6057_658,20140419,"2014, 04",2014
6057_659,20140419,"2014, 04",2014
6057_660,20140419,"2014, 04",2014
6057_661,20140419,"2014, 04",2014
6057_662,20140419,"2014, 04",2014
6057_663,20140419,"2014, 04",2014
6057_664,20140419,"2014, 04",2014
6057_686,20140308,"2014, 03",2014
6057_687,20140308,"2014, 03",2014
6057_688,20140308,"2014, 03",2014
6057_689,20140308,"2014, 03",2014
6057_690,20140308,"2014, 03",2014
6057_691,20140308,"2014, 03",2014
6058_651,20140419,"2014, 04",2014
6058_652,20140419,"2014, 04",2014
6058_653,20140419,"2014, 04",2014
6058_654,20140419,"2014, 04",2014
6058_655,20140419,"2014, 04",2014
6058_656,20140419,"2014, 04",2014
6058_657,20140419,"2014, 04",2014
6058_658,20140419,"2014, 04",2014
6058_659,20140419,"2014, 04",2014
6058_660,20140419,"2014, 04",2014
6058_661,20140419,"2014, 04",2014
6058_662,20140419,"2014, 04",2014
6058_663,20140419,"2014, 04",2014
6058_664,20140309,"2014, 03",2014
6058_666,20140309,"2014, 03",2014
6058_667,20140312,"2014, 03",2014
6058_671,20140312,"2014, 03",2014
6058_679,NA,No date,NA
6058_680,20140312,"2014, 03",2014
6058_681,20140312,"2014, 03",2014
6058_685,20140308,"2014, 03",2014
6058_686,20140308,"2014, 03",2014
6058_687,20140308,"2014, 03",2014
6058_688,20140308,"2014, 03",2014
6058_689,20140308,"2014, 03",2014
6058_690,20140308,"2014, 03",2014
6058_691,20140308,"2014, 03",2014
6059_649,20140419,"2014, 04",2014
6059_650,20140419,"2014, 04",2014
6059_651,20140419,"2014, 04",2014
6059_652,20140419,"2014, 04",2014
6059_653,20140419,"2014, 04",2014
6059_654,20140419,"2014, 04",2014
6059_655,20140419,"2014, 04",2014
6059_656,20140419,"2014, 04",2014
6059_657,20140419,"2014, 04",2014
6059_658,20140419,"2014, 04",2014
6059_659,20140419,"2014, 04",2014
6059_660,20140419,"2014, 04",2014
6059_661,20140419,"2014, 04",2014
6059_662,20140309,"2014, 03",2014
6059_663,20140309,"2014, 03",2014
6059_664,20140309,"2014, 03",2014
6059_665,20140309,"2014, 03",2014
6059_666,20140312,"2014, 03",2014
6059_667,20140312,"2014, 03",2014
6059_668,20140312,"2014, 03",2014
6059_670,20140312,"2014, 03",2014
6059_671,20140312,"2014, 03",2014
6059_674,20140312,"2014, 03",2014
6059_675,20140312,"2014, 03",2014
6059_676,20140312,"2014, 03",2014
6059_677,20140312,"2014, 03",2014
6059_678,20140312,"2014, 03",2014
6059_679,20140312,"2014, 03",2014
6059_680,20140312,"2014, 03",2014
6059_681,20140312,"2014, 03",2014
6059_682,20140308,"2014, 03",2014
6059_685,20140308,"2014, 03",2014
6059_686,20140308,"2014, 03",2014
6059_687,20140308,"2014, 03",2014
6059_688,20140308,"2014, 03",2014
6059_689,20140308,"2014, 03",2014
6059_690,20140308,"2014, 03",2014
6059_691,20140308,"2014, 03",2014
6060_649,20140419,"2014, 04",2014
6060_650,20140419,"2014, 04",2014
6060_651,20140419,"2014, 04",2014
6060_652,20140419,"2014, 04",2014
6060_653,20140419,"2014, 04",2014
6060_654,20140419,"2014, 04",2014
6060_655,20140419,"2014, 04",2014
6060_656,20140419,"2014, 04",2014
6060_657,20140419,"2014, 04",2014
6060_658,20140419,"2014, 04",2014
6060_659,20140419,"2014, 04",2014
6060_660,20140309,"2014, 03",2014
6060_661,20140309,"2014, 03",2014
6060_662,20140309,"2014, 03",2014
6060_663,20140309,"2014, 03",2014
6060_664,20140309,"2014, 03",2014
6060_665,20140309,"2014, 03",2014
6060_666,20140312,"2014, 03",2014
6060_667,20140312,"2014, 03",2014
